"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,9.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Total hospitalization rate,Total,38.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Very low,469,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Low,349,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Moderate,947,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,High,"1,245",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Very high,776,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,High/very high,"2,021",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Total,"3,786",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Very low,12.4,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Low,9.2,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Moderate,25,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,High,32.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Very high,20.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,High/very high,53.4,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,General pediatrics,Total hospitalization rate,Total,0.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"2,900",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,"1,874",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,"6,215",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,"7,894",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,"4,712",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"12,606",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"23,595",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,12.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,7.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,26.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,33.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,20,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,53.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,5.8,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"11,590",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Low,"17,486",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,"17,124",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,High,"8,051",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,"3,374",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,"11,425",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"57,625",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,20.1,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,30.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,29.7,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,14,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,5.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,19.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,3.4,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Obstetric and gynecology,Total hospitalization rate,Total,17.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Very low,"1,950",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Low,"1,015",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Moderate,"4,040",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,High,"3,781",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Very high,"1,183",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,High/very high,"4,964",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Total,"11,969",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Very low,16.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Low,8.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Moderate,33.8,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,High,31.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Very high,9.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,High/very high,41.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,1.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Psychiatry,Total hospitalization rate,Total,3.2,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Very low,"4,300",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Low,"8,684",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Moderate,"30,932",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,High,"33,558",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Very high,"13,082",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,High/very high,"46,640",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Total,"90,556",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Very low,4.7,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Low,9.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Moderate,34.2,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,High,37.1,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Very high,14.4,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,High/very high,51.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,11.2,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Surgery,Total hospitalization rate,Total,22.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Very low,"59,207",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Low,"33,888",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Moderate,"57,205",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,High,"37,642",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Very high,"17,720",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,High/very high,"55,362",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Total,"205,662",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Very low,28.8,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Low,16.5,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Moderate,27.8,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,High,18.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Very high,8.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,High/very high,26.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,13.7,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,General,All service provider groups,Total hospitalization rate,Total,52.2,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Very low,"12,218",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Low,"19,381",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Moderate,"41,498",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,High,"35,219",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Very high,"13,022",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,High/very high,"48,241",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Total,"121,338",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Very low,10.1,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Low,16,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,34.2,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,High,29,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Very high,10.7,,
